lager,d,D,B,C,C0,typ
16005,25,47,8,8.06,4.75,Rillenkugellager
6005,25,47,12,10.0,5.85,Rillenkugellager
6205,25,52,15,14.8,7.8,Rillenkugellager
6305,25,62,17,23.4,11.6,Rillenkugellager
16006,30,55,9,11.9,7.35,Rillenkugellager
6006,30,55,13,13.8,8.3,Rillenkugellager
6206,30,62,16,20.3,11.2,Rillenkugellager
6306,30,72,19,29.6,16.0,Rillenkugellager
16007,35,62,9,12.7,8.15,Rillenkugellager
6007,35,62,14,16.8,10.2,Rillenkugellager
6207,35,72,17,28.5,15.3,Rillenkugellager
6307,35,80,21,35.1,19.2,Rillenkugellager
16008,40,68,9,13.3,9.1,Rillenkugellager
6008,40,68,15,17.8,11.6,Rillenkugellager
6208,40,80,18,32.5,19.0,Rillenkugellager
6308,40,90,23,41.0,24.0,Rillenkugellager

